journal name from open access directory;matched name in WOS;convert date;Domain
Computational Linguistics;Computational Linguistics;January, 2009;Applied Sciences
Conservation Letters;Conservation Letters;January 2015;Natural Sciences
Cuadernos de Estudios Gallegos;Cuadernos de Estudios Gallegos;2006;
Cultural Anthropology;Cultural Anthropology;February 2014;
Current Zoology;Current Zoology;January, 2009;
Deutsche Entomologische Zeitschrift;Deutsche Entomologische Zeitschrift;January, 2014;Natural Sciences
Developmental Cognitive Neuroscience;Developmental Cognitive Neuroscience;2014;
Discrete Dynamics in Nature and Society;Discrete Dynamics in Nature and Society;February 2006;Natural Sciences
Disease Models and Mechanisms;DISEASE MODELS & MECHANISMS;January, 2011;Health Sciences
Drugs in R&D;Drugs in R&D;June, 2010;Health Sciences
Earth, Planets, and Space;EARTH PLANETS AND SPACE;2014;Natural Sciences
Economic Analysis and Policy;Economic Analysis and Policy;May, 2008;
Editor and Publisher;;December, 2010;
Eiszeitalter und Gegenwart (E&G) - Quaternary Science Journal;;September, 2010;
EJC Supplements;EJC Supplements;2014;Health Sciences
EMBO Molecular Medicine;EMBO Molecular Medicine;August , 2012;
Emerita, Revista de linguistica y filologia clasica;;2006;
Engenharia Sanitaria e Ambiental;Engenharia Sanitaria e Ambiental;August, 2005;
Environmental Health Perspectives;Environmental Health Perspectives;January, 2004;Health Sciences
Environmental Sciences Europe;Environmental Sciences Europe;2011;
Epidemics;Epidemics;2014;
Estudios Geograficos;Estudios Geograficos;2006;Economic & Social Sciences
Estudios Geologicos;;2006;
EURASIP Journal on Wireless Communications and Networking;EURASIP Journal on Wireless Communications and Networking;September, 2006;Applied Sciences
European Journal of Medical Research;European Journal of Medical Research;January 2012;Health Sciences
European Physical Journal C;European Physical Journal C;2014;Natural Sciences
Evolution: Education and Outreach;;May, 2010;
Evolutionary Applications;Evolutionary Applications;February 6, 2012;
Experimental Diabetes Research;Experimental Diabetes Research;April, 2006;
Filozofski vestnik International;FILOZOFSKI VESTNIK;OA on October 4, 2009;
Fixed Point Theory and Applications;Fixed Point Theory and Applications;February 2006;Natural Sciences
Florida Entomologist;Florida Entomologist;November, 1994;Natural Sciences
Food and Nutrition Research;Food & Nutrition Research;January, 2008;
Foot & Ankle Journal;;February, 2008;
Fornvännen;;March, 2009;
Fossil Record;Fossil Record;January, 2014;Natural Sciences
Genetics Selection Evolution;Genetics Selection Evolution;January, 2009;Applied Sciences
Geochemical Transactions;Geochemical Transactions;November, 2005;Natural Sciences
Geological Survey of Denmark and Greenland Bulletin;Geological Survey of Denmark and Greenland Bulletin;April, 2007;Natural Sciences
Geologisk Tidsskrift;;October, 2009;
Gladius;Gladius;2006;
Gold Bulletin;Gold Bulletin;2011;Natural Sciences
Grasas y Aceites;Grasas y Aceites;2006;Health Sciences
GREEK ROMAN AND BYZANTINE STUDIES;GREEK ROMAN AND BYZANTINE STUDIES;convert_date_before: 2009;Arts & Humanities
Green Chemistry Review and Letters;;2013;
Health and Human Rights;Health and Human Rights;March, 2008;Health Sciences
Hereditary Cancer in Clinical Practice;Hereditary Cancer in Clinical Practice;June, 2008;Health Sciences
Hispania;;2006;
Hispania Sacra;Hispania Sacra;2006;
Historical Studies in Education/Revue d'histoire de l'éducation;Historical Studies in Education;January 1, 2011;
Homiletic;;2008;
HPB Surgery;;November, 2007;
Human Genomics;Human Genomics;2012;Health Sciences
IETE Journal of Education;;October, 2008;
IETE Journal of Research;IETE Journal of Research;October, 2008;Applied Sciences
IETE Technical Review;IETE Technical Review;October, 2008;Applied Sciences
in education (Indigenous Education);IN EDUCATION;December, 2009;
Indian Journal of Agricultural Sciences;Indian Journal of Agricultural Sciences;March, 2010;Applied Sciences
Indian Journal of Animal Sciences;Indian Journal of Animal Sciences;March, 2010;Applied Sciences
Indian Journal of Medical Informatics;;August, 2007;
Indian Journal of Pathology and Microbiology;Indian Journal of Pathology and Microbiology;April, 2008;Health Sciences
Indiana Libraries;;2012;
Infectious Diseases in Obstetrics and Gynecology;;February 2006;
Influenza and other Respiratory Viruses;Influenza and other Respiratory Viruses;October 1, 2013;Health Sciences
Information Standards Quarterly;;January, 2011;
Information Technologies and International Development;;October, 2006;
Information Technology and Libraries;Information Technology and Libraries;January, 2012;Economic & Social Sciences
Informes de la Construccion;Informes de la Construccion;2006;
International Journal of Biodiversity Science, Ecosystem Services and Management;;Sep 16;
International Journal of Infectious Disease;INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES;December 31, 2013;Health Sciences
International Journal of Mathematics and Mathematical Sciences;;February 2006;
International Journal of Neuropsychopharmacology;International Journal of Neuropsychopharmacology;2015;Health Sciences
International Journal of Qualitative Studies on Health and Well-being;International Journal of Qualitative Studies on Health and Well-being;February 9, 2010;
International Journal of Rotating Machinery;International Journal of Rotating Machinery;February 2006;Applied Sciences
International Journal of Smart and Nano Materials;International Journal of Smart and Nano Materials;October, 2011;
International Journal of the Platonic Tradition;International Journal of the Platonic Tradition;January, 2012;
Irish Veterinary Journal;Irish Veterinary Journal;February, 2011;Applied Sciences
Isegoria;Isegoria;2006;
Journal for International Counselor Education;;2010;
Journal für Psychologie;;August, 2008;
Journal of Applied Mathematics;Journal of Applied Mathematics;February, 2006;Natural Sciences
Journal of Applied Mathematics and Decision Sciences;;February, 2006;
Journal of Applied Mathematics and Stochastic Analysis;;February, 2006;
Journal of Automated Methods and Management in Chemistry;JOURNAL OF AUTOMATED METHODS & MANAGEMENT IN CHEMISTRY;February, 2006;Natural Sciences
Journal of Biological Dynamics;Journal of Biological Dynamics;January, 2012;
Journal of Biomedical Science;Journal of Biomedical Science;October, 2008;Health Sciences
Journal of Biomedicine and Biotechnology;Journal of Biomedicine and Biotechnology;August, 2004;Applied Sciences
Journal of British and Irish Innovative Poetry;Journal of British and Irish Innovative Poetry;2015;
Journal of Cardiovascular Magnetic Resonance;Journal of Cardiovascular Magnetic Resonance;Jan, 2008;Health Sciences
Journal of Cellular and Molecular Medicine;Journal of Cellular and Molecular Medicine;September 12, 2012;Health Sciences
Journal of Clinical Investigation;Journal of Clinical Investigation;January, 1996;Health Sciences
Journal of Control Science and Engineering;Journal of Control Science and Engineering;April, 2006;
Journal of Current Chinese Affairs-China;;Summer 2009;
Journal of Current Southeast Asian Affairs;;Summer 2009;
Journal of Diabetes Investigation;Journal of Diabetes Investigation;2014;
Journal of Economic Perspectives;Journal of Economic Perspectives;2010;Economic & Social Sciences
Journal of e-Learning and Knowledge Society;Journal of e-Learning and Knowledge Society;April, 2010;
Journal of Headache and Pain;Journal of Headache and Pain;2013;Health Sciences
Journal of High Energy Physics;Journal of High Energy Physics;2014;Natural Sciences
Journal of Hymenoptera Research;Journal of Hymenoptera Research;2011;
Journal of Inequalities and Applications;Journal of Inequalities and Applications;February 2006;
Journal of Intellectual Property Rights;Journal of Intellectual Property Rights;July, 2009;
Journal of Korean Medical Science;Journal of Korean Medical Science;January, 2010;Health Sciences
Journal of Muslim Mental Health;Journal of Muslim Mental Health;Nov 11;
Journal of Neuroscience;Journal of Neuroscience;January 2008;Health Sciences
Journal of Otolaryngology - Head and Neck Surgery;Journal of Otolaryngology-Head & Neck Surgery;2013;Health Sciences
Journal of Politics in Latin America;Journal of Politics in Latin America;Summer 2009;
Journal of Research in Rural Education;;September, 2004;
Journal of Science and Health Policy;;November, 2005;
Journal of Social Intervention: Theory and Practice;;October, 2011;
Journal of the California Dental Association;;November, 2007;
Journal of the Canadian Health Libraries Association;Journal of the Canadian Health Libraries Association;June, 2006;
Journal of the Royal Society of Medicine;Journal of the Royal Society of Medicine;March, 2006;Health Sciences
Journal of Universal Computer Science;Journal of Universal Computer Science;2007;Applied Sciences
Journal of Water Reuse and Desalination;Journal of Water Reuse and Desalination;January, 2017;
Krisis;;June, 2008;
Laparoscopy Today;;September, 2007;
MADERAS: Ciencia y Tecnologí­a;MADERAS-CIENCIA Y TECNOLOGIA;August, 2005;Applied Sciences
Maritime Studies;Maritime Studies;2012;
Materiales de Construccion;Materiales de Construccion;2006;Applied Sciences
Mathematical Problems in Engineering;Mathematical Problems in Engineering;May, 2005;Natural Sciences
Maxillofacial Plastic and Reconstructive Surgery;;2015;
Mediators of Inflammation;Mediators of Inflammation;February 2006;Health Sciences
Medicine;Medicine;March, 2006;Health Sciences
Methods of Information in Medicine;Methods of Information in Medicine;2010;Applied Sciences
Michigan Family Review;;2004;
Microbial Biotechnology;Microbial Biotechnology;October 30, 2012;
Microbial Ecology in Health and Disease;Microbial Ecology in Health and Disease;June, 2011;Health Sciences
Mitteilungen der Vereinigung Österreichischer Bibliothekarinnen & Bibliothekare;;2010;
Molecular Oncology;Molecular Oncology;January 2017;Health Sciences
Multidisciplinary Respiratory Medicine;Multidisciplinary Respiratory Medicine;June 2012;
Nanoscale Research Letters;Nanoscale Research Letters;2012;Applied Sciences
Nature Communications;Nature Communications;October 20, 2014;
Netherlands Journal of Medicine;Netherlands Journal of Medicine;July, 2005;Health Sciences
Neural Plasticity;Neural Plasticity;May, 2006;Health Sciences
New West Indian Guide;NWIG-NEW WEST INDIAN GUIDE-NIEUWE WEST-INDISCHE GIDS;October, 2011;
Nordeuropa Forum;NORDEUROPA FORUM-ZEITSCHRIFT FUR KULTURSTUDIEN;January, 2006;
Nuclear Physics B;Nuclear Physics B;2014;Natural Sciences
Nucleic Acid Research;;2005;
Open Chemistry;Open Chemistry;January, 2014;
Open Engineering;Open Engineering;November, 2014;
Open Life Sciences;Open Life Sciences;2014;
Open Mathematics;Open Mathematics;2014;
Open Medicine;Open Medicine;2014;
Open Physics;Open Physics;2014;
Oral Tradition;;October, 2007;
Orientalia Suecana;;January 2010;
Photonic Sensors;Photonic Sensors;2011;
PHYSICS LETTERS B;PHYSICS LETTERS B;2014;Natural Sciences
Pirineos;;2006;
Polar Research;Polar Research;January, 2011;Natural Sciences
Progress of Theoretical and Experimental Physics;Progress of Theoretical and Experimental Physics;2013;
Pulmon: The Journal of Respiratory Sciences;;March, 2006;
Rangifer;;July, 2008;
RECVET Revista Electronica de Clinica Veterinaria;;2006;
REDVET Revista Electronica de Veterinaria;;May, 1996;
Research in Learning Technology;Research in Learning Technology;January 2012;
REVISTA CHILENA DE LITERATURA;REVISTA CHILENA DE LITERATURA;August, 2005;
Revista de Dialectologia y Tradiciones Populares;Revista de Dialectologia y Tradiciones Populares;2006;
Revista de Indias;Revista de Indias;2006;
Revista de literatura;Revista de literatura;2006;
Revista de Metalurgia;Revista de Metalurgia;2006;Applied Sciences
Revista Espanola de Documentacion Cientifica;Revista Espanola de Documentacion Cientifica;2006;
Revista Internacional de Sociologia;Revista Internacional de Sociologia;2006;
Rice;Rice;2012;
Sarcoma;;February 2006;
Scandinavian Journal of Trauma, Resuscitation and Emergency Medicine;Scandinavian Journal of Trauma Resuscitation & Emergency Medicine;July, 2008;
Science and Technology of Advanced Materials;Science and Technology of Advanced Materials;January, 2008;Applied Sciences
Science China Life Sciences;SCIENCE CHINA-LIFE SCIENCES;2011;
Scientia Marina;Scientia Marina;2006;Natural Sciences
Sefarad;Sefarad;2006;
Singapore Journal of Library & Information Management;;July, 2009;
Stem Cell Research;Stem Cell Research;2007;Health Sciences
Subterranean Biology;;April, 2013;
Swiss Journal of Economics and Statistics;;2017;
Tellus A/B;TELLUS SERIES A-DYNAMIC METEOROLOGY AND OCEANOGRAPHY;January 1, 2012;Natural Sciences
Tessera;;January 2011;
Thoracic Cancer;Thoracic Cancer;November 15, 2015;
Trabajos de Prehistoria;Trabajos de Prehistoria;2006;
TriQuarterly Online;TRIQUARTERLY;September, 2009;
Veterinary Research;Veterinary Research;January, 2011;Applied Sciences
World Allergy Organization Journal;World Allergy Organization Journal;2013;
Zoosystematics and Evolution;Zoosystematics and Evolution;January, 2014;
